,A1S1,A2S9,A3S17,A4S25,A5S33,A6S41,B1S2,B2S10,B3S18,B4S26,B5S34,B6S42,C1S3,C2S11,C4S27,C5S35,C6S43,D1S4,D2S12,D3S20,D4S28,D5S36,D6S44,E1S5,E2S13,E3S21,E4S29,E5S37,E6S45,F1S6,F2S14,F3S22,F4S30,F5S38,F6S46,G1S7,G2S15,G3S23,G4S31,G5S39,G6S47,H1S8,H2S16,H3S24,H4S32,H5S40,H6S48,A7S49,A8S57,A10S73,A11S81,A12S89,B7S50,B8S58,B9S66,B10S74,B11S82,B12S90,C8S59,C9S67,C10S75,C11S83,C12S91,D7S52,D8S60,D10S76,D11S84,D12S92,E7S53,E9S69,E11S85,E12S93,F7S54,F8S62,F9S70,F10S78,F11S86,F12S94,G7S55,G9S71,G10S79,G11S87,G12S95,H7S56,H8S64,H9S72,H11S88,A10_tophat,A11_tophat,A12_tophat,A1_tophat,A2_tophat,A3_tophat,A4_tophat,A5_tophat,A6_tophat,A7_tophat,A8_tophat,A9_tophat,B10_tophat,B11_tophat,B12_tophat,B1_tophat,B2_tophat,B3_tophat,B4_tophat,B5_tophat,B6_tophat,B7_tophat,B8_tophat,B9_tophat,C10_tophat,C11_tophat,C12_tophat,C1_tophat,C2_tophat,C3_tophat,C4_tophat,C5_tophat,C6_tophat,C7_tophat,C8_tophat,C9_tophat,D10_tophat,D11_tophat,D12_tophat,D1_tophat,D2_tophat,D3_tophat,D4_tophat,D5_tophat,D6_tophat,D7_tophat,D8_tophat,D9_tophat,E10_tophat,E11_tophat,E12_tophat,E1_tophat,E2_tophat,E3_tophat,E4_tophat,E5_tophat,E6_tophat,E7_tophat,E8_tophat,E9_tophat,F10_tophat,F11_tophat,F12_tophat,F1_tophat,F2_tophat,F3_tophat,F4_tophat,F5_tophat,F6_tophat,F7_tophat,F8_tophat,F9_tophat,G10_tophat,G11_tophat,G12_tophat,G1_tophat,G2_tophat,G3_tophat,G4_tophat,G5_tophat,G6_tophat,G7_tophat,G8_tophat,G9_tophat,H10_tophat,H11_tophat,H12_tophat,H1_tophat,H2_tophat,H3_tophat,H4_tophat,H5_tophat,H6_tophat,H7_tophat,H8_tophat,H9_tophat
RPS24,16.70743804,53.94702979,47.90042842,30.29055414,30.70393059,18.53126655,28.88243683,37.24023988,55.59457244,71.46778255,29.93233668,34.19973381,27.30504682,29.16240176,33.33706447,57.0819545,29.87381487,23.88284755,47.20488644,16.42675749,42.95957957,21.20641756,38.63442733,19.26968303,25.14771322,41.52764386,23.32616093,16.28368266,32.69718651,10.81725119,25.58223806,30.84115264,43.07846307,35.87089812,34.06127904,34.74625601,2.662913938,43.84396193,42.49842404,17.8816348,49.63053194,29.96689369,44.75579311,32.10677208,37.47947522,57.76662461,39.2191505,18.93678898,6.500278602,43.31803615,47.83410496,42.93913066,27.8346396,42.1670836,17.60897674,43.85410703,36.98472,14.20292895,86.28400793,20.45090148,45.01889102,26.56193283,54.91579145,13.57429235,55.00056708,16.64406703,0,35.30928302,33.62280241,29.25011117,14.04791144,79.11603688,32.2129847,26.57189197,39.64504271,29.71527654,24.05980018,22.22440501,32.69852656,15.51232268,54.27816393,39.92908905,10.61415992,25.22548392,7.109052939,42.31763193,12.31545525,8.930737338,6.339850003,7.159871337,7.948367232,6.539158811,6.62935662,6.614709844,7.17990909,6.658211483,8.511752654,7.857980995,7.417852515,5.523561956,7.434628228,6.672425342,8.409390936,7.108524457,6.392317423,8.794415866,7.894817763,8.271463028,8.86727874,8.383704292,8.491853096,8.257387843,6.906890596,7.118941073,8.224001674,7.189824559,7.614709844,7.312882955,7.665335917,8.54689446,8.098032083,8.707359132,6.988684687,6.832890014,6.06608919,6.918863237,8.451211112,6.375039431,7.491853096,7.584962501,6.741466986,0,7.515699838,8.54689446,7.924812504,7.845490051,5.491853096,7.409390936,7.108524457,7.554588852,9.224001674,6.442943496,6.426264755,6.539158811,8.375039431,7.562242424,7.839203788,7.392317423,7.417852515,7.714245518,7.383704292,6.426264755,9.413627929,8.758223215,7.266786541,7.366322214,7.442943496,8.531381461,8.531381461,7.46760555,8.527477006,7.139551352,8.54689446,7.607330314,7.658211483,8.194756854,9.09011242,0,9.164906927,7.807354922,8.724513853,6.50779464,6.442943496,8.087462841,6.266786541,7.06608919,7.483815777,6.906890596,8.184875343,7.366322214,6.820178962,7.787902559,7.882643049
AOX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.185167952,0,0,0,0,0,0,0,2.33891649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327757551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.71099273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.483815777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.584962501,0,0,0,0,0,0,0,0
ATIC,65.51331832,0,16.03370081,50.39979821,0,107.1434109,0,7.595890494,37.36095815,82.33933829,0,55.1088046,1.027962634,5.891101643,31.67160911,51.70993417,15.07760641,0,89.60440844,59.70421996,1.822437085,63.64790364,102.6089823,11.8059939,8.847455292,29.70470853,30.79076996,36.51311088,0,5.75954893,0,92.36146665,69.68254513,22.70275111,5.345236629,0,23.1581314,0,41.16008154,56.05134719,116.1817546,107.360197,16.63335218,9.972062611,3.857297851,139.3616741,85.68774296,0.290448852,92.63305855,105.7113844,111.3479926,0,25.14960956,6.026800514,15.98684321,4.024290279,0,43.10467031,17.58112368,2.060062184,131.6358432,0.475955047,158.1861433,0,53.02457929,17.02891247,0,69.83413573,2.853967745,0,78.37204716,56.86649739,0,1.821347466,1.66256592,1.8458573,0.88785131,0,0,1.554187773,47.27520247,0.672173495,2.417549662,3.214276503,0,20.22070772,0,8.271463028,5.807354922,8.861086906,7.912889336,5.857980995,5.285402219,8.495855027,5.754887502,6.614709844,2.807354922,5.459431619,6.442943496,4.64385619,9.118941073,7.21916852,5.781359714,2.321928095,7.894817763,6.754887502,5.672425342,9.033423002,2.321928095,3.321928095,7.426264755,8.573647187,7.442943496,8.826548487,6.50779464,0,3.169925001,6.022367813,3,6.845490051,8.74819285,8.675957033,8.199672345,7.614709844,6.50779464,7.577428828,9.240791332,8.707359132,1.584962501,9.079484784,9.14974712,0,3.169925001,0,5.491853096,7.339850003,0,8.224001674,5.357552005,7.971543554,3.459431619,8.413627929,6.700439718,7.400879436,4.169925001,0,6.022367813,3.321928095,6.857980995,9.019590728,7.417852515,7.022367813,7.888743249,7.948367232,6.727920455,8.921840937,6.087462841,9.477758266,8.184875343,8.703903573,6,7.781359714,3.321928095,6.930737338,9.319672121,8.897845456,7.118941073,0,8.693486957,8.839203788,7.977279923,4.321928095,5.614709844,8.888743249,7.599912842,9.577428828,6.50779464,3.321928095,5.357552005,7.607330314,3.584962501,9.005624549,6.06608919
FASTKD1,31.19741505,0,3.80953837,10.97117513,1.642110365,0,0,6.703360562,0,7.01979141,0,0,7.559794104,0,24.1876226,37.55020507,0,0.269945816,0,0.191595904,0,2.071813563,0,33.57159132,2.195961859,29.80158278,6.165257735,11.10378852,0,1.9363018,31.10265139,1.06780138,0,0,12.57909952,0,4.865955223,0,0,9.953367328,3.274920478,9.423581017,0,10.47658149,0,25.03915597,0,0.256320622,0,31.47363598,40.02342782,65.15398342,0,98.1903009,0,0,23.42854926,0,0,0,0,0,0,0,0,0,0,0,0,10.2348893,0,0,0,0,0,0,0,280.7439516,0,0,0,69.28482286,31.22644037,0,0,0,0,4.857980995,6.599912842,5.727920455,0,4.392317423,5.64385619,7.22881869,0,5.700439718,0,4.459431619,5.426264755,0,7.882643049,7.820178962,3.807354922,8.299208018,0,0,2,2,3.700439718,0,1,7.721099189,2,1.584962501,8.044394119,4.754887502,0,6.491853096,0,5.087462841,0,6.266786541,2.807354922,7.599912842,6.303780748,0,0,0,0,0,4.169925001,0,5.285402219,1,4.754887502,7.876516947,0,6.189824559,1,0,0,0,0,0,5.169925001,0,1,0,0,4.247927513,0,0,0,6.62935662,6.845490051,0,7.276124405,0,0,7.665335917,0,7.209453366,8.54303182,0,0,0,7.442943496,0,9.77807713,8.124121312,7.554588852,0,4.754887502,6.714245518,6.539158811,0,0,0,2.807354922,4.392317423,5.672425342,0,0
IDH1,112.7955558,6.61886389,45.66546798,113.5013562,24.96466022,47.39730307,6.233498543,56.30533728,20.45087509,47.93810599,66.85730788,262.1615471,71.55949615,40.92799504,292.6552048,15.98036783,83.47234917,113.76475,146.8029814,0.72255316,3.249250856,34.94279435,77.20884213,114.0548648,112.7202536,189.395889,43.7025828,40.02756862,123.6444164,37.42402582,40.05847525,104.7001758,2.988544683,104.0077752,0.7412303,76.12150716,78.60199452,41.91623208,84.08058038,96.684889,27.55110295,17.04889308,177.14432,23.7057899,71.52324536,126.3676037,66.86774113,267.760742,53.55600412,91.50846476,26.93458091,88.20874238,164.5844082,299.3247747,207.0481464,196.5205468,8.49563104,72.14797375,172.0818323,291.9560331,36.50819686,85.00961084,56.26296921,288.6219084,15.00917826,194.9183108,0,95.23165353,69.51039007,0.160825716,161.0099705,222.0924796,136.2890613,77.66478677,4.149899768,43.51442741,1.231193937,97.21868114,0,13.70713947,249.1834735,5.03339915,219.0670277,37.88684032,0,118.6665289,0,7.727920455,7.14974712,7.87036472,8.965784285,0,9.398743692,8.562242424,7.894817763,6.906890596,7.285402219,5.523561956,8.957102042,0,9.475733431,6.918863237,1,0,1,8.535275377,6.06608919,8.960001932,9.044394119,8.495855027,8.839203788,9.177419538,7.483815777,6.303780748,8.417852515,7.982993575,3.906890596,6.108524457,9.726218159,9.721099189,9.941047606,0,8.6794801,4.64385619,7.339850003,8.22881869,9.509775004,0,8.794415866,7.087462841,9.169925001,0,10.24198315,1,9.843921051,10.04712391,1,7.033423002,8.022367813,9.025139562,9.273795599,8.209453366,0,6.06608919,10.28424575,5.977279923,7.087462841,6.523561956,8.915879379,9.139551352,7,9.285402219,8.731319031,8.30833903,7.50779464,7.139551352,8.30833903,7.426264755,9.317412614,10.78381676,8.124121312,8.262094845,9.594324604,8.108524457,6.965784285,10.00281502,9.997179481,0,10.88264305,10.57175264,8.569855608,6.303780748,6.754887502,8.144658243,5.584962501,9.113742166,9.609178738,8.495855027,8.28077077,8.098032083,9.301496195,7.562242424,8.303780748
COX17,4.105706746,0,7.806747368,3.645863856,0.420639574,3.2027405,2.139309874,7.492882436,9.334807586,6.220714064,1.410866234,8.368623667,5.577123241,4.261555664,7.710392443,4.809391194,6.292481724,2.765950334,4.096694197,2.355782783,3.766657653,6.604409166,4.629490616,5.9307786,7.000162026,6.785699047,2.807608162,4.01551533,9.598219053,0.991998079,3.414510195,7.294020785,2.598327707,4.055039736,0,6.214296082,1.329549828,4.624770537,6.673647055,6.180930573,4.129953548,0.521929709,6.016188525,0,1.993089445,5.282099599,1.519253306,4.727416115,11.59783215,0.772428368,0,10.99078385,1.749321192,5.868852066,17.87963462,6.717982243,8.124983711,8.661507315,2.207983356,8.279030345,8.94120807,6.886008936,7.643228523,0,3.29530715,13.63836236,0,9.574562678,5.161319199,0.349566393,14.09395843,5.762666744,0,7.822905391,13.53016354,1.112726746,1.873262709,17.36809936,9.38736091,11.80495773,20.39748805,12.15606578,7.551756504,12.11026522,3.758225365,7.313714542,12.51741878,4.247927513,1,3.584962501,3.321928095,3.321928095,3.321928095,3.584962501,4,3.807354922,3.807354922,1,3.584962501,1,2.807354922,3.459431619,5.087462841,3.807354922,1.584962501,3.584962501,2.584962501,2.321928095,0,3.321928095,2,2.321928095,3.321928095,4.087462841,5.906890596,3.459431619,5.357552005,4.64385619,4.64385619,3.700439718,3.700439718,3.169925001,4.584962501,1,1.584962501,3.906890596,4.754887502,3.321928095,3.700439718,2.584962501,3.584962501,0,4.523561956,0,1.584962501,3.459431619,0,3.321928095,3.321928095,4.392317423,5.700439718,1.584962501,2.584962501,5.554588852,1.584962501,1.584962501,0,1.584962501,2.807354922,5.491853096,3.584962501,0,5.044394119,3.169925001,4.169925001,2.321928095,1.584962501,4.523561956,4.247927513,4.754887502,3.321928095,2.584962501,4.247927513,5.044394119,3.584962501,4.906890596,2,0,4.459431619,4.64385619,0,4.95419631,2.321928095,3.584962501,3.807354922,5.672425342,3.807354922,3.807354922,4.64385619,4.247927513,3.169925001,3.321928095,0
PARP9,0,0,0,0,0,0,0,0,0,0,0,4.991655306,0,17.08722666,0,0,0,0,0,0,0,0,0.093750034,8.791460262,0,0,0.113711586,0.433688834,0,0,0,0,0,0,0,0,0,0,0,0,30.35917856,0,0,0,0,0,0,0,55.32334045,0,0,0,0,0.101869599,0,0,0,0,0,78.16097498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811202448,62.68983868,0,11.20762505,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.321928095,0,0,0,0,0,0,0,0,0,0,0,4.321928095,0,8.038918989,0,0,0,0,0,0,6.918863237,0,0,0,0,0,4.700439718,0,0,0,5.044394119,8.832890014,0,0,0,0,0,0,8.326429487,0,2.321928095,0,0,0,0,0,0,0,0,8.348728154,8.442943496,0,0,0,2.584962501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLCE,0,0,5.115009135,2.985978995,19.01671543,2.623058962,44.15303256,0.409113641,3.931842678,0,1.694741884,0,0,0,0.36084836,0,0.2290476,0,0,0.385879352,0,0.309088057,0,0,0,0,0,0,4.11189976,0,0,0,0,0,0,0,0.653344395,0,0,0,0,0,0,2.250679419,0,0,0,0,0,0,0,0,0,0,0,0,10.64703748,0,0,0,0,0,0,0,0,0,0,0,0,0,2.601242981,0,0,0,0,14.94578313,0,0.711227598,0,19.3366276,0,0,0,0,0,1.118126857,2.374106291,0,2.584962501,5.906890596,0,0,5,0,0,0,0,0,0,0,8.129283017,0,0,0,0,0,0,0,0,0,4.087462841,0,0,0,1,0,0,3.700439718,0,0,0,0,7.055282436,0,5.584962501,0,0,0,0,0,0,0,0,0,0,0,2.584962501,2.584962501,0,7.076815597,0,0,0,0,0,0,4.807354922,0,5.087462841,6.189824559,0,0,0,0,0,0,4.700439718,0,6.108524457,0,0,0,3.459431619,8.686500527,0,0,0,0,0,0,0,0,0,4.754887502,0,0,0,0,0,0,0,0,2
INTS14,30.86510673,0,0,0,0,56.73034789,0,0.644281103,43.80232549,1.203508695,0,0,67.45713815,12.09229073,0,0,49.05644659,3.995582792,0,0.202563745,0.242909157,0,27.06877459,6.119549225,0.515926431,0,45.62730053,0.69055418,23.80702058,0,0,29.35210986,0,0,0.415599554,0,0,0,0,5.421013788,29.29716454,0,0,29.24145784,8.483175715,120.6835189,1.567609587,0,0,13.74849106,0,0,71.97438692,141.0101737,0,0.57765073,52.58799649,1.411135934,9.568697085,2.135635856,0,0.148024658,0,0,3.740212752,24.51331308,0,55.98276363,0,0,21.30177031,0,0,138.0719819,0,1.148143702,0,0,0,0,2.239012688,0,0,124.2074825,5.332038029,0,0,0,4.95419631,3,6.95419631,2.321928095,5.857980995,1,3.807354922,6.357552005,0,4.523561956,9.103287808,0,7.727920455,0,0,0,7.076815597,8.861086906,0,4.700439718,9.005624549,2.807354922,0,0,0,7.189824559,3.807354922,7.011227255,4.584962501,1,6.475733431,8.566054038,0,7.209453366,6.658211483,3.807354922,5.426264755,2.584962501,4.64385619,6.894817763,7.087462841,5.906890596,7.686500527,0,2.584962501,6.022367813,3.169925001,7.499845887,0,7.700439718,1.584962501,8.906890596,2.584962501,8.422064766,2.584962501,8.479780264,7.375039431,7.845490051,5,1,3.169925001,9.068778278,3.807354922,0,5.930737338,0,0,5.426264755,5.700439718,0,1.584962501,3.459431619,4.459431619,1,0,7.607330314,2.807354922,1,7.820178962,0,9.152284842,0,2.584962501,8.199672345,4.392317423,7.636624621,7.199672345,7.651051691,0,3.169925001,2.321928095,5.426264755,2,1.584962501,5.95419631
PARP16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311443435,0,0,0,0,0,0,0,13.23878643,0,0,0,0,0,0,0.215833231,0,0,0,8.165323502,0,0,0,0,0,0,0,0,0,27.13427109,0,0,0,0.29608059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.735514868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3.459431619,0,0,0,1.584962501,4,0,0,3.321928095,0,0,0,0,0,0,0,0,0,1,3.584962501,0,0,0,0,0,0,0,0,3.459431619,0,0,6.14974712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.807354922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.807354922,0,1.584962501,6.554588852,2.584962501,0,2,0
PPCDC,11.11877571,8.057779692,23.06363359,6.283112638,35.03735186,0,3.686787394,0.358691278,8.171263163,4.913557935,0,0,14.59502127,0,0,11.35801563,3.614723699,0,22.48757537,0,0,5.690866189,0,0,0,0,0,0,21.2065711,10.25738083,0,0,9.515404547,33.19427,5.553051965,0,0,4.782069001,0,3.905707306,6.820813258,0,0,0,6.297129465,0,0,1.508705487,0,0,0,0,0,6.501926183,0,0,11.88067152,0,0,0,0,1.483378545,6.272374033,10.64497116,63.98316873,0,0,0,9.433855534,0,0,0,0,0,0,0,4.458120359,143.4211802,0,0,5.734027997,54.18859694,9.58951872,6.400215913,0,0,0,3.906890596,2,0,0,0,2.807354922,2,0,0,0,0,0,0,6.523561956,5.491853096,4.95419631,0,3.700439718,6.129283017,3.321928095,0,0,0,0,4.169925001,3,5,5.781359714,0,0,0,0,0,0,0,0,5.392317423,3,2.807354922,1.584962501,0,2.321928095,0,1,0,0,0,0,1,0,5.754887502,6.303780748,1,7.022367813,2.321928095,0,6.988684687,0,0,0,3.584962501,0,0,4.754887502,0,5.491853096,0,0,0,3,3.459431619,0,0,6.409390936,0,6.569855608,5.882643049,0,0,0,0,1,4,0,3.807354922,1,0,0,3.459431619,0,3.169925001,6.209453366,3,1,0,0
UBL7,69.61063208,0,50.11701069,115.5264977,0,0,0,0,68.63400475,16.57564539,8.128385838,2.629850582,27.13312372,4.910397295,46.96005898,0,67.67171857,0,0,4.524102744,0,89.68882747,36.89593503,0,1.152281313,78.84010336,0,0,38.28320466,0,4.590116092,13.44731089,38.17267331,0,5.569254504,3.132697534,0,6.394695983,0,22.79041902,8.327826756,4.209771507,24.75778984,92.02562486,82.67567632,0.869474826,0.583522225,0,0,0,0,214.3530015,2.015663464,0,0,47.73509504,0,129.2181292,0,0,0,13.2240596,0,0,150.3625052,9.631692274,0,0,0,0,0,20.94172613,76.12207871,0,0,0,0,0,0,0,0,0.560275329,0,99.91142266,0,47.75448201,0,7.06608919,5.584962501,4.459431619,6.06608919,0,3.321928095,0,1.584962501,0,0,2,0,0,4.857980995,6.247927513,5,0,3.906890596,0,2,0,2,2.807354922,0,2.807354922,4.247927513,6.554588852,6.409390936,6.727920455,0,4.64385619,0,6.894817763,5.459431619,5.977279923,3,4,2,6.87036472,1.584962501,0,1.584962501,0,6.087462841,0,2.584962501,0,3.584962501,3.807354922,0,5.491853096,3.700439718,0,0,0,0,6.06608919,7.339850003,2.584962501,6.06608919,0,0,5.523561956,1,0,7.011227255,0,0,6.169925001,4.95419631,1,7.266786541,6.930737338,0,0,3.321928095,3.906890596,4.857980995,2,0,0,6.392317423,0,8.438791853,6.14974712,4.700439718,6.781359714,7.523561956,6.569855608,4,5.285402219,3.584962501,5.459431619,7.238404739,3.807354922,5.672425342
PRKG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.22058535,0,0,0,0,0,0,0,0,0,0,0.421153211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14583946,0,0,0,0,0,0,0,0,0,0,6.392317423,0,0,3.321928095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.285402219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GPAT3,160.1611239,1.126285194,34.57466784,0.761131901,62.43659445,23.73611198,110.7604863,43.01709611,116.6489492,64.04079835,74.51879755,27.15919798,1.164312926,47.70841057,0,107.4319253,5.473563976,0,1.140333179,79.42683323,30.0778692,30.72698916,41.31700233,10.77185359,24.11301487,2.124933439,11.13652188,61.19608311,22.19572189,0.621285994,111.5583887,15.98879643,67.73745928,68.57086224,43.89320897,13.86524496,13.73944831,1.737889551,12.53906696,7.355093509,12.60957703,28.11196486,28.52856971,31.19507871,88.93903028,79.39598844,67.87399947,79.28282136,27.70964818,61.92256207,79.00046497,20.65050391,5.204079221,56.70999515,172.2581628,12.62236802,94.8340738,59.10047251,152.6671509,108.1100992,2.099946359,73.67513309,85.48099127,0.241785827,74.2983439,63.64924309,0,31.69592005,107.5548134,206.4534276,26.72968431,0,4.480146071,80.19653384,1.176931757,0,55.9793494,9.51789874,143.9145838,122.5194723,0.815418981,95.92776339,137.4086862,381.6585701,562.5504189,80.31251519,1.650448224,5.700439718,7.636624621,7.912889336,6.672425342,4.392317423,7.321928095,8.321928095,9.707359132,9.052568051,8.962896005,7.055282436,0,1,7.247927513,8.791162889,6.700439718,0,4.169925001,8.784634846,8.668884984,9.036173613,0,6.832890014,1.584962501,5.044394119,8.851749041,8.622051819,7.451211112,7.118941073,8.876516947,7.727920455,8.845490051,8.326429487,1.584962501,9.025139562,7.971543554,6.965784285,4.700439718,7.636624621,7.129283017,9.495855027,9.357552005,6.169925001,7.6794801,1,0,1,7.554588852,1,0,9.060695932,1.584962501,9.315149562,1,5.882643049,0,9.746514321,4.459431619,6.672425342,7.592457037,6.50779464,8.164906927,9.068778278,9.005624549,6.794415866,8.330916878,7.523561956,8.447083226,7.942514505,5.95419631,8.204571144,8.285402219,9.116343961,9.294620749,9.306061689,1.584962501,5.554588852,7.754887502,7.257387843,9.836050355,0,0,7.592457037,1,8.483815777,4.321928095,7.64385619,7.50779464,6.768184325,9.22881869,7.159871337,6.14974712,5.930737338,7.247927513,2.321928095,6.741466986
PDE5A,11.99004377,0,5.080061868,11.34152717,28.13323534,5.337354757,1.267609492,2.35862908,0,3.110038837,0,5.916603313,0.963848613,0,33.04115853,0.118738251,0,11.55434369,5.765127915,0,1.464661457,0.104821167,0,2.899195137,0,0,0,0,0,4.628850782,0.252900806,0.324145537,4.979618628,0,0,0,0,0,17.22423271,0,1.032382762,1.391670172,10.88532268,0,0.110715864,5.365393504,13.16551499,0,4.867727812,0,0,4.522493609,6.121997817,1.117762223,0,0,0,0,0,1.1957376,0,1.211303567,0,0.25734422,1.317988014,0,0,0,7.923638994,0.155346947,0,0,7.386397349,6.952982305,0,0.494494628,0,0,0,0,0,0,0,3.229073684,3.96660983,0,0,6.768184325,4.087462841,6.14974712,0,7.108524457,4.247927513,5.882643049,1,3.906890596,0,0,0,9.092757141,0,5.247927513,4.459431619,0,0,0,4.321928095,0,0,0,7.17990909,0,3.906890596,1,1.584962501,1,0,6.409390936,0,2.321928095,0,5.044394119,0,0,0,0,0,0,1,0,5.977279923,0,7.22881869,0,0,0,7.22881869,6.247927513,0,5.285402219,1,8.082149041,0,1,1,0,9.689997971,0,4,0,0,8.483815777,0,8.312882955,0,0,5.672425342,1,0,0,6.977279923,0,2.321928095,1,0,0,0,0,7.930737338,7.741466986,1.584962501,0,1.584962501,0,6.087462841,0,7.209453366,7.044394119,5.087462841,1.584962501,0,1,0
NUP54,34.4986796,0,58.73922577,20.79452827,0,0,0,17.02776902,2.852247602,42.82598682,17.35136229,5.288403784,4.638907039,16.23577171,0,0,29.72120984,17.74784085,45.27139564,0.209944207,0,3.0269628,5.776036052,0.951377483,22.7257845,0.604732411,38.28217274,5.248574444,0,0,36.81988566,0,67.9048191,0,4.738162323,0,0,1.731044098,0,25.77913673,5.244796991,4.744395018,0,40.86836548,60.74654003,15.73595318,57.6777673,10.67295849,5.28275893,132.3750542,0,107.3079069,102.8921268,6.724597324,0,12.2733004,2.96217682,118.2228749,17.0011457,1.106724145,0,4.29570326,17.22347276,0,0,216.6606608,0,173.0923612,16.80980742,0,3.502744657,7.584903029,97.64997848,7.485370407,35.5708066,0,1.717124543,14.70430667,2.400646788,0,0,0,0,25.12495438,0,0,0,5.832890014,7.357552005,7.434628228,5.882643049,7.022367813,6.965784285,6.569855608,4.754887502,6.459431619,1.584962501,0,0,7.348728154,8.873444113,7.312882955,8.344295908,1,4.584962501,5.727920455,6.781359714,7.693486957,0,1,7.584962501,7.665335917,7.294620749,6.392317423,8.118941073,8.348728154,8.426264755,6.64385619,6.491853096,7.366322214,7.108524457,7.366322214,7.888743249,7.554588852,0,7.982993575,7.761551232,2.584962501,6.614709844,5.930737338,6.523561956,0,2.584962501,0,6.741466986,7.832890014,2.807354922,8.290018847,5.169925001,0,0,7.17990909,0,7.238404739,0,2.584962501,2.584962501,0,8.189824559,7.686500527,4.95419631,5.087462841,7.876516947,8.727920455,5.523561956,5,4.523561956,0,6.614709844,8.027905997,0,3.807354922,4,7.768184325,1,0,9.285402219,0,2.584962501,6.50779464,7.483815777,6.442943496,4.906890596,7.832890014,9.147204925,4.584962501,6.022367813,4.906890596,9.095397023,7.22881869,7.577428828,7.714245518,5.209453366
